|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Nike Dunk Low Two-Toned Grey Kids                      | NO   |         32900 | 26, 27                                                                                                                       | https://kicksmania.ru/wp-content/uploads/2023/12/ttgmain-730x438.png                                              | https://kicksmania.ru/product/nike-dunk-low-two-toned-grey-kids/                      |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Yeezy Slide Enflame Orange Kids                        | NO   |         42900 |                                                                                                                           27 | https://kicksmania.ru/wp-content/uploads/2023/12/slidekidsomain-730x438.png                                       | https://kicksmania.ru/product/yeezy-slide-enflame-orange-kids/                        |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Travis Scott x Air Jordan 1 Low Olive Kids             | NO   |         37900 | 21, 25, 27, 28.5, 31, 33, 33.5                                                                                               | https://kicksmania.ru/wp-content/uploads/2023/06/spider-kids-main-730x438.jpg                                     | https://kicksmania.ru/product/travis-scott-x-air-jordan-1-low-olive-kids/             |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 1 Retro High Spider-Verse Kids              | NO   |         31900 | 17, 18.5, 19.5, 21, 22, 23.5, 25, 26, 27, 27.5, 28, 28.5, 29.5, 30, 31, 31.5, 32, 33, 33.5, 34, 35                           | https://kicksmania.ru/wp-content/uploads/2023/06/kids-main-730x438.jpg                                            | https://kicksmania.ru/product/air-jordan-1-retro-high-spider-verse-kids/              |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Футболка Air Jordan Kids Royal Blue                    | NO   |          9900 | None                                                                                                                         | https://kicksmania.ru/wp-content/uploads/2023/10/mainjordankids-730x438.png                                       | https://kicksmania.ru/product/futbolka-air-jordan-kids-royal-blue/                    |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Force 1 Low White Kids                             | NO   |         17900 |                                                                                                                           27 | https://kicksmania.ru/wp-content/uploads/2022/11/af1-low-white--768x461.jpg                                       | https://kicksmania.ru/product/air-force-1-low-white-kids/                             |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 1 High Heritage Kids                        | NO   |         29900 | 21, 27, 32                                                                                                                   | https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-heritage-kids-768x461.jpg                                  | https://kicksmania.ru/product/air-jordan-1-high-heritage-kids/                        |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 1 High Satin Snake Kids                     | NO   |         39900 |                                                                                                                           21 | https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-satin-snake--768x461.jpg                                   | https://kicksmania.ru/product/air-jordan-1-high-satin-snake-kids/                     |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 6 x Travis Scott British Khaki Kids         | NO   |         37900 |                                                                                                                           26 | https://kicksmania.ru/wp-content/uploads/2022/11/aj6-x-travis-scott-british-khaki-9s-768x461.jpg                  | https://kicksmania.ru/product/air-jordan-6-x-travis-scott-british-khaki-kids/         |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 1 High Seafoam Kids                         | NO   |         29900 |                                                                                                                           28 | https://kicksmania.ru/wp-content/uploads/2022/11/aj1-h-seafoam-gs-768x461.jpg                                     | https://kicksmania.ru/product/air-jordan-1-high-seafoam-kids/                         |
