name,SALE,price(Rub),available_sizes(EU),img,link
Nike SB Dunk Low Pro ISO Court Purple,NO,32900,"39, 40.5, 41, 43",https://kicksmania.ru/wp-content/uploads/2023/11/isomain-730x438.png,https://kicksmania.ru/product/nike-sb-dunk-low-pro-iso-court-purple/
Air Jordan 1 Retro High Spider-Verse,NO,43200 - 49400,"36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48, 48.5, 49, 49.5",https://kicksmania.ru/wp-content/uploads/2023/05/spide-main-730x438.jpg,https://kicksmania.ru/product/air-jordan-1-retro-high-og-spide-verse/
Air Jordan 4 Retro «Military Black»,NO,89900,"41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47.5",https://kicksmania.ru/wp-content/uploads/2023/09/mainj4m-730x438.png,https://kicksmania.ru/product/air-jordan-4-retro-military-black/
Air Jordan 1 High Element GORE-TEX Black Olive,NO,39900,"41, 42.5, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/elementmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-high-element-gore-tex-black-olive/
Air Jordan 1 High Element GORE-TEX Sky J Purple,NO,39900,"41, 42, 44, 44.5, 45, 45.5",https://kicksmania.ru/wp-content/uploads/2023/12/skyjpmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-high-element-gore-tex-sky-j-purple/
Air Jordan 1 Low 85 Neutral Grey,NO,34900,"40.5, 42.5, 43, 44, 44.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/jordanngmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-low-85-neutral-grey/
Air Jordan 1 Low Concord,NO,37900,"38.5, 40, 40.5, 42, 43, 44.5, 45",https://kicksmania.ru/wp-content/uploads/2023/10/concordmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-low-concord/
Air Jordan 1 Mid Schematic Kids,NO,27900,"29.5, 31",https://kicksmania.ru/wp-content/uploads/2023/12/jcartmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-mid-schematic-kids/
Air Jordan 1 Retro High Legends Of Summer Black 3M,NO,2190000,43,https://kicksmania.ru/wp-content/uploads/2023/12/jordanexpmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-legends-of-summer-black-3m/
Air Jordan 1 Retro High Lucky Green Black,NO,32900 - 35900,"38, 44, 44.5, 46",https://kicksmania.ru/wp-content/uploads/2023/11/luckymain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-lucky-green-black/
Air Jordan 1 Retro High OG Chicago Lost and Found Kids,NO,29900 - 33900,"22, 32, 33.5",https://kicksmania.ru/wp-content/uploads/2023/12/lofkmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-og-chicago-lost-and-found-kids/
Air Jordan 1 Retro High OG Royal Reimagined,NO,44900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48.5, 49.5, 50.5, 51.5, 52.5",https://kicksmania.ru/wp-content/uploads/2023/11/ajremain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-og-royal-reimagined/
Air Jordan 1 Retro High OG Royal Reimagined Kids,NO,24900,"23.5, 26, 27, 33, 33.5, 34, 35",https://kicksmania.ru/wp-content/uploads/2023/11/remkidsmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-og-royal-reimagined-kids/
Air Jordan 1 Retro High Satin Bred Kids,NO,27900,"23.5, 25, 26, 27, 32, 33.5",https://kicksmania.ru/wp-content/uploads/2023/12/satinmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-satin-bred-kids/
Air Jordan 1 Retro High True Blue Kids,NO,28900,26,https://kicksmania.ru/wp-content/uploads/2023/12/jtbmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-true-blue-kids/
Air Jordan 1 Retro High UNC Toe Kids,NO,29900,"23.5, 25, 26, 27",https://kicksmania.ru/wp-content/uploads/2023/12/unckmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-unc-toe-kids/
Air Jordan 1 Retro High Washed Heritage,NO,31900 - 40900,"40, 41, 42, 45.5",https://kicksmania.ru/wp-content/uploads/2023/10/washedmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-washed-heritage/
Air Jordan 1 Retro High Washed Pink Kids,NO,30900,"17, 18.5, 19.5, 21, 22, 23.5, 25, 26, 27, 27.5, 28, 28.5, 29.5, 30, 31, 31.5, 32, 33, 33.5, 34, 35",https://kicksmania.ru/wp-content/uploads/2023/12/wpinkkmain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-high-washed-pink-kids/
