name,SALE,price(Rub),available_sizes(EU),img,link
Jordan Lakers Basketball Jersey,NO,30900,"M, L",https://kicksmania.ru/wp-content/uploads/2023/04/yk-main-730x438.png,https://kicksmania.ru/product/jordan-la-lakers-basketball-jersey-6-james-kids/
Supreme x KAWS Tee Pink,NO,32900,L,https://kicksmania.ru/wp-content/uploads/2022/10/supreme-x-kaws-tee-pink-l--768x461.jpg,https://kicksmania.ru/product/supreme-x-kaws-tee-pink/
The North Face 1996 Retro Nuptse MENS LIFESTYLE JACKET,NO,49900,S,https://kicksmania.ru/wp-content/uploads/2022/11/the-north-face-1996-retro-nuptse-mens-lifestyle-jacket--768x461.jpg,https://kicksmania.ru/product/the-north-face-1996-retro-nuptse-mens-lifestyle-jacket/
NOCTA Men’s Sideline Jacket,NO,39900,"S, M, L",https://kicksmania.ru/wp-content/uploads/2023/11/noctamain-730x438.png,https://kicksmania.ru/product/nocta-mens-sideline-jacket/
Термобелье Supreme Pants Termo Black,NO,9900,"M, L",https://kicksmania.ru/wp-content/uploads/2023/11/suptermomain2-730x438.png,https://kicksmania.ru/product/termobele-supreme-pants-termo-black/
Термобелье Supreme Pants Termo White,NO,9900,"M, L",https://kicksmania.ru/wp-content/uploads/2023/11/suptermomain-730x438.png,https://kicksmania.ru/product/termobele-supreme-pants-termo-white/
Titan x Jordan Tee Light Blue,NO,30900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/titan-main-730x438.png,https://kicksmania.ru/product/titan-x-jordan-tee-light-blue/
The North Face 1996 Retro Nuptse Black,NO,47900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/the-north-face-m-1996-retro-nuptse-jacketblack-768x461.jpg,https://kicksmania.ru/product/the-north-face-m-1996-retro-nuptse-jacket-black/
Drew House Mascot Tee Hot Pink,NO,21900,"XS, S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/07/drew-pink-main-730x438.jpg,https://kicksmania.ru/product/drew-house-mascot-tee-hot-pink/
Drew House Doodle Joy Tee Black,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/doodleblackmain-730x438.png,https://kicksmania.ru/product/drew-house-doodle-joy-tee-black/
Drew House Love Dark Navy T-Shirt,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/10/maindrewnav-730x438.png,https://kicksmania.ru/product/drew-house-love-dark-navy-t-shirt/
Drew House Mascot Tee Black,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/drwblackmain-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-black/
Drew House Mascot Tee Brown,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/drewbrownmain-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-brown/
Drew House Mascot Tee Cream,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/maindrewcream-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-cream/
Drew House Mascot Tee Orange,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/maindreworange-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-orange/
Drew House Mascot Tee Pacific Blue,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/08/drewpacif-730x438.png,https://kicksmania.ru/product/drew-house-mascot-tee-pacific-blue-2/
Drew House Mascot Tee White,NO,21900,"XS, S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/07/drew-w-main-730x438.jpg,https://kicksmania.ru/product/drew-house-mascot-tee-white/
Undefeated x Jordan Strike Tee Black,NO,24700,"M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/06/jteeb-main-730x438.jpg,https://kicksmania.ru/product/undefeated-x-jordan-strike-tee-black/
Undefeated x Jordan Strike Tee White,NO,24700,"M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/jtw-main-730x438.png,https://kicksmania.ru/product/undefeated-x-jordan-strike-tee-white/
Uniqlo x KAWS Tee White Gone,NO,19425,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/08/uniqlo-x-kaws-tee-white-gone-768x461.jpg,https://kicksmania.ru/product/uniqlo-x-kaws-tee-white-gone/
Travis Scott x Fragment x Jordan Hoodie Black,NO,39900,"M, L",https://kicksmania.ru/wp-content/uploads/2022/10/jordan-x-travis-x-fragment-hoodie-black-768x461.jpg,https://kicksmania.ru/product/travis-scott-x-fragment-x-jordan-hoodie-black/
Burberry x Supreme Box Logo Tee White,NO,55900,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/09/supreme-x-burberry-box-logo-tee-white-768x461.jpg,https://kicksmania.ru/product/burberry-x-supreme-box-logo-tee-white/
Fear Of God Essentials T-Shirt Moss,NO,28035,S,https://kicksmania.ru/wp-content/uploads/2021/05/fear-of-god-essentials-t-shirt-mossgoat-spina-768x461.jpg,https://kicksmania.ru/product/fear-of-god-essentials-t-shirt-moss-2021/
Undefeated x Jordan Throw Tee White,NO,27100,"S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2023/04/jtp-main1-730x438.png,https://kicksmania.ru/product/undefeated-x-jordan-throw-print-tee-white/
The North Face Retro Nuptse 1996 Blue Camo,NO,49900,"XS, S, M, L, XL",https://kicksmania.ru/wp-content/uploads/2022/10/the-north-face-w-retro-nuptse-1996-blue-camo--768x461.jpg,https://kicksmania.ru/product/the-north-face-retro-nuptse-1996-blue-camo/
